Label	Distance	Astro_m1	Astro_m2	Endo_m1	Endo_m2	Inter_m1	Inter_m2	Micro_m1	Micro_m2	Oligo_m1	Oligo_m2	CA1_m1	CA1_m2	SS_m1	SS_m2	All_m1	All_m2
Pms1	1	0	2	3	2	1	4	1	0	20	11	15	11	3	5	43	35
Stk17b	21	23	2	6	1	1	0	24	0	24	11	4	1	5	0	87	15
Gtf3c3	5	9	0	11	2	47	6	2	0	104	16	178	38	79	16	430	78
Ankrd44	3	0	0	0	0	1	0	1	0	8	2	1	0	4	1	15	3
Sf3b1	63	51	4	113	10	257	15	26	2	722	70	1101	78	341	22	2611	201
Hspd1	141	40	4	40	8	322	61	23	0	385	107	728	258	181	68	1719	506
Rftn2	247	6	8	6	2	3	2	0	0	88	29	5	4	6	0	114	45
Boll	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hsfy2	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Satb2	4	2	0	1	2	0	1	0	1	7	5	16	5	10	0	36	14
1110034B05Rik	14951	27	0	14	0	59	0	4	0	164	1	262	1	98	0	628	2
Kctd18	1	0	0	1	0	1	2	0	0	10	8	2	2	2	1	16	13
Clk1	10	58	8	155	20	135	29	61	9	768	79	517	98	169	28	1863	271
Ppil3	200	19	4	17	0	98	24	4	1	192	20	234	75	106	20	670	144
Orc2	1	3	4	2	1	21	22	0	2	50	40	77	70	25	16	178	155
Trak2	36	1	0	6	0	2	1	0	0	8	4	6	11	2	6	25	22
Als2cr11	10346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Als2cr4	280	20	5	13	4	43	4	2	0	213	19	199	18	77	9	567	59
Mpp4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
uc007bdw.1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sumo1	1	88	7	139	44	732	197	54	7	1034	236	2537	680	1042	268	5626	1439
Ica1l	113	1	0	0	0	4	0	0	0	0	0	14	0	7	0	26	0
Wdr12	187	6	4	6	7	94	54	6	2	94	36	426	165	135	73	767	341
Raph1	50	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
ENSMUST00000138535	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ino80d	167	0	1	0	0	0	0	0	0	1	0	3	0	1	0	5	1
Gpr1	1	0	0	0	1	1	0	0	0	0	0	3	1	0	0	4	2
ENSMUST00000153049	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mdh1b	1	6	1	0	0	1	2	0	0	3	0	5	1	3	1	18	5
Klf7	350	7	0	8	8	13	6	4	2	48	55	48	32	27	9	155	112
ENSMUST00000122813	27	0	0	2	0	2	0	0	0	21	1	1	0	2	0	28	1
2810408I11Rik	366	0	0	0	0	3	0	0	0	5	0	4	0	5	0	17	0
Fzd5	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Plekhm3	28631	0	0	2	0	1	0	0	0	8	0	6	0	7	0	24	0
Cryge	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cryga	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D630023F18Rik	1	0	0	1	0	31	2	0	0	5	0	357	5	47	1	441	8
Idh1	7331	106	8	38	1	68	11	20	4	1379	110	261	46	62	22	1934	202
1110028C15Rik	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acadl	6	25	1	24	2	9	0	4	2	70	4	18	0	8	1	158	10
Myl1	9643	0	0	1	0	17	0	0	0	3	0	0	0	2	0	23	0
Lancl1	1	9	1	10	2	60	11	4	0	159	14	124	14	55	3	421	45
Erbb4	256	0	0	0	0	2	1	0	0	1	4	1	0	1	0	5	5
Ikzf2	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Abca12	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
March4	96	0	0	0	0	1	1	0	0	0	0	2	0	0	0	3	1
Ankar	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Igfbp5	68	2	0	2	0	2	1	0	0	2	2	0	0	2	0	10	3
Tns1	125918	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
Tmbim1	1	20	2	5	0	3	0	1	2	442	36	17	4	15	0	503	44
Usp37	70	3	0	0	0	3	0	1	0	16	0	25	0	10	0	58	0
Zfp142	63	0	0	0	1	0	0	0	0	0	0	1	0	1	0	2	1
Rnf25	738	5	0	5	0	50	0	4	0	47	0	173	0	60	0	344	0
Prkag3	549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cryba2	279	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0
Ihh	208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc23a3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1810031K17Rik	1024	3	0	0	1	2	0	1	0	25	6	7	1	6	0	44	8
Abcb6	36	1	0	1	0	12	2	2	0	9	4	40	4	5	0	70	10
Atg9a	195	6	0	4	0	10	0	0	0	43	0	51	5	33	1	147	6
Glb1l	1252	0	1	2	2	1	0	2	0	8	2	2	0	2	1	17	6
Ptprn	1	0	0	0	0	6	1	0	0	0	0	18	5	7	1	31	7
Resp18	1	13	0	19	1	1529	71	1	0	81	7	1183	88	386	24	3212	191
Dnpep	331	13	3	11	4	52	9	3	0	105	10	98	20	44	7	326	53
Chpf	1	0	0	0	0	0	0	0	0	0	0	10	5	0	0	10	5
Obsl1	727	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1
Pax3	263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Scg2	1	9	8	22	9	668	395	0	0	54	28	574	719	281	226	1608	1385
Ap1s3	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wdfy1	1	14	0	17	0	121	0	2	0	370	4	179	1	88	0	791	5
Fam124b	73	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0
Cul3	322	0	0	0	0	0	0	0	0	2	0	0	3	2	0	4	3
Dock10	93207	0	0	0	0	1	0	0	1	6	2	0	1	0	0	7	4
Irs1	193	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1
Col4a4	22	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
Slc19a3	358	1	0	25	1	0	0	3	0	10	1	6	0	0	0	45	2
Sphkap	111	0	0	0	0	15	2	0	0	3	2	99	48	31	5	148	57
Pid1	7	2	0	2	1	18	0	4	0	10	3	56	2	15	5	107	11
Dner	1	1	0	0	0	35	0	0	0	7	0	27	2	0	0	70	2
Trip12	29	0	0	0	0	0	0	0	0	6	1	5	6	1	1	12	8
Slc16a14	78	0	0	0	0	2	1	0	0	0	0	23	6	11	0	36	7
Htr2b	1144	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0
ENSMUST00000126385	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ncl	96	44	0	75	0	235	0	34	0	507	0	833	0	271	0	1999	0
Pde6d	207	2	0	2	0	4	0	0	0	72	1	54	0	7	0	141	1
Alpi	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ngef	63448	0	0	0	0	0	0	0	0	0	0	6	0	3	0	9	0
Dnajb3	1	0	0	0	0	0	0	0	0	0	0	5	0	1	0	6	0
Hjurp	1	2	0	1	1	4	0	1	0	13	1	8	2	5	1	34	5
Arl4c	412	0	0	0	0	5	1	0	0	1	0	0	0	1	1	7	2
Gbx2	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Asb18	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Iqca	16	2	3	0	1	0	0	0	0	0	0	3	1	0	0	5	5
Col6a3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rab17	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ilkap	1	1	2	3	1	15	9	1	0	13	20	43	55	15	4	91	91
1700020N18Rik	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
Hdac4	173384	0	0	0	0	0	0	0	0	1	0	3	0	1	0	5	0
Ndufa10	1	63	2	46	2	655	17	17	0	650	23	2209	62	665	9	4305	115
Ankmy1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
uc007cdb.1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kif1a	1	26	13	15	3	422	142	3	1	699	244	1147	469	503	245	2815	1117
Pask	897	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1
Hdlbp	33121	1	6	8	31	39	9	2	12	40	157	141	13	51	6	282	234
Stk25	23	1	0	1	2	25	15	0	0	21	3	133	55	11	10	192	85
Thap4	87	0	0	0	0	0	0	0	0	0	0	4	0	1	0	5	0
Pdcd1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
St8sia4	11	0	1	6	4	5	3	2	0	2	1	7	0	0	0	22	9
Slco4c1	14	0	0	0	0	0	0	0	0	0	0	3	0	4	0	7	0
Slco6b1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slco6c1	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D1Ertd622e	247	3	0	3	0	5	0	1	0	71	1	14	0	7	0	104	1
Ppip5k2	8310	0	0	3	0	22	2	1	0	24	11	27	1	14	0	91	14
Pam	70721	0	1	1	7	12	3	0	0	10	5	66	6	50	5	139	27
B230216N24Rik	1	0	0	3	2	17	3	0	0	12	2	73	13	53	9	158	29
ENSMUST00000159353	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rnf152	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pign	1	2	4	1	0	5	2	1	0	42	12	11	16	5	4	67	38
Bcl2	34	1	0	1	0	2	0	0	0	0	0	4	0	5	0	13	0
Kdsr	1	11	2	8	0	19	9	3	0	226	73	113	40	44	8	424	132
Vps4b	14	12	0	15	1	26	4	9	0	107	9	110	8	45	6	324	28
Cdh19	1	3	0	0	0	2	0	0	0	240	24	7	2	7	0	259	26
Dsel	143	0	0	0	0	0	0	0	0	3	0	2	0	0	0	5	0
Gli2	1	1	1	0	0	0	0	0	1	0	0	0	0	1	0	2	2
Inhbb	71	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
Ralb	28	3	1	20	3	2	5	4	0	18	3	7	9	2	1	56	22
Epb4.1l5	246	3	0	0	0	0	0	1	0	4	1	2	0	0	0	10	1
Ptpn4	195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm101	37	0	0	0	0	0	0	0	0	0	0	3	0	0	0	3	0
Tmem37	216	6	0	14	0	2	0	14	0	7	0	1	0	4	0	48	0
Dbi	3	3902	41	211	19	446	27	61	3	9263	264	1726	118	460	41	16069	513
Steap3	4945	1	0	1	0	0	0	0	0	0	0	1	0	0	0	3	0
Marco	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Insig2	4	9	2	7	1	48	2	0	0	67	4	148	25	34	2	313	36
Ddx18	1	26	8	49	11	97	35	18	5	238	83	499	166	157	56	1084	364
Dpp10	284	0	0	0	0	5	9	0	0	4	1	0	2	11	1	20	13
uc007cjy.1	78	0	0	1	1	0	2	0	0	11	5	7	10	76	41	95	59
Actr3	26	2	0	4	2	1	1	1	2	18	6	44	13	1	0	71	24
Lypd1	8	0	0	1	1	4	3	0	0	1	4	55	37	6	9	67	54
Nckap5	245212	0	0	1	0	0	0	0	0	31	0	3	4	0	0	35	4
Tmem163	140295	0	0	0	0	0	1	0	0	7	6	2	0	0	1	9	8
Zranb3	527	0	0	0	1	2	0	0	0	0	3	8	3	1	1	11	8
Mcm6	1	2	0	2	0	2	0	4	0	2	0	4	1	2	0	18	1
Dars	1	4	4	4	3	11	9	3	1	24	17	38	24	8	4	92	62
Daf2	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cd55	157	7	0	11	0	9	0	1	0	53	1	67	1	4	0	152	2
Zp3r	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C4bp	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pfkfb2	1	3	0	5	0	4	4	1	0	19	1	13	4	7	0	52	9
Il20	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mapkapk2	219	0	0	0	0	0	0	0	0	1	0	1	0	1	0	3	0
Dyrk3	3	0	0	0	0	0	1	0	0	0	0	2	0	0	0	2	1
Rassf5	93	0	0	0	0	0	0	3	0	3	0	0	0	0	0	6	0
Ikbke	2586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Srgap2	2066	1	0	0	2	7	3	1	2	5	5	67	9	18	1	99	22
Mfsd4	4	0	0	1	0	5	2	0	0	5	1	71	12	30	5	112	20
Cdk18	17	0	0	0	0	0	0	0	0	8	0	1	1	0	0	9	1
Tmcc2	23213	3	0	1	0	2	0	0	0	147	4	48	0	3	0	204	4
Cntn2	52	0	0	0	0	2	0	0	0	35	11	3	0	1	0	41	11
Nfasc	34463	1	0	1	0	1	0	0	0	31	27	8	1	1	0	43	28
Mdm4	5185	9	0	12	0	36	0	2	0	103	0	111	0	37	0	310	0
Sox13	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Snrpe	4	52	19	77	39	282	46	17	8	456	144	1119	189	442	104	2445	549
Zbed6	1	0	0	0	0	0	1	1	0	0	0	1	1	0	0	2	2
Zc3h11a	1	12	0	27	1	61	6	5	0	185	14	219	18	88	10	597	49
Lax1	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Atp2b4	4	1	0	0	0	0	3	0	0	1	0	1	0	3	1	6	4
Optc	9	0	0	0	0	1	0	0	0	0	0	1	0	3	0	5	0
Prelp	1	5	3	1	1	0	1	0	0	3	3	0	0	1	1	10	9
Adora1	536	0	0	0	0	4	2	0	0	26	1	11	13	16	1	57	17
Ppfia4	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4931440L10Rik	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ppp1r12b	152041	0	1	5	0	0	0	0	0	0	0	1	4	0	1	6	6
Lgr6	140	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Gpr37l1	9	332	36	11	1	7	1	6	0	144	32	120	15	33	2	653	87
Rnpep	5	0	0	4	0	1	1	2	0	14	0	8	3	4	0	33	4
Shisa4	5	4	2	1	0	14	2	0	0	217	19	54	6	19	0	309	29
Ipo9	1	2	0	5	0	13	0	3	0	28	0	36	1	15	1	102	2
Nav1	363	1	0	0	0	0	0	0	0	2	2	3	1	0	1	6	4
Pkp1	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5730559C18Rik	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Camsap2	260	0	0	0	0	0	0	0	0	1	0	1	0	2	2	4	2
Nr5a2	4012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ptprc	25	0	0	0	0	0	0	11	2	8	5	1	0	0	0	20	7
Nek7	1	0	0	0	0	2	1	0	0	6	1	1	0	0	0	9	2
Lhx9	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Crb1	121315	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Cfhr2	160135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cfh	8	1	3	23	9	3	0	46	15	28	5	2	2	13	0	116	34
Cdc73	31	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1
Rgs13	59	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
Rgs1	28	5	0	4	0	0	0	132	4	75	1	30	1	22	1	268	7
Pla2g4a	38853	4	1	9	0	6	0	3	0	246	77	7	3	7	1	282	82
ENSMUST00000163840	74	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
BC003331	263	19	5	18	2	130	17	7	0	252	24	456	57	111	11	993	116
Prg4	583	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hmcn1	263	1	1	13	7	0	0	1	1	3	5	0	3	3	0	21	17
ENSMUST00000076388	112	0	0	0	0	1	0	0	0	0	0	0	0	1	0	2	0
1200016B10Rik	38	24	4	30	4	42	10	6	1	173	38	213	36	67	6	555	99
Rnf2	13	9	0	7	2	20	1	18	1	67	4	210	28	33	4	364	40
1700025G04Rik	1	0	0	0	0	1	1	0	0	1	0	3	4	0	0	5	5
Tsen15	12	11	1	3	10	44	8	2	1	14	5	151	17	57	3	282	45
Rgl1	1	1	0	1	0	5	1	0	0	1	2	38	17	10	4	56	24
Smg7	84	2	0	1	0	3	0	0	0	0	0	7	0	2	0	15	0
Lamc1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	2	0
E330020D12Rik	6433	0	0	1	0	3	0	23	0	224	0	3	0	8	0	262	0
Npl	6	6	0	1	0	6	1	41	0	13	2	20	10	10	2	97	15
5830403L16Rik	48996	1	0	0	0	2	0	0	0	3	0	0	0	2	0	8	0
uc007dar.1	1	0	0	0	1	0	0	2	0	1	1	0	1	1	0	4	3
uc007das.1	201	3	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0
Ier5	145	3	0	5	0	0	0	5	0	6	0	12	0	9	0	40	0
Mr1	1	12	6	17	7	0	0	3	0	25	6	2	0	3	1	62	20
uc007dbe.1	83	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
Xpr1	7	1	0	0	1	1	0	0	0	1	1	3	3	3	3	9	8
ENSMUST00000097531	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lhx4	75	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
Qsox1	1	4	1	1	3	2	0	1	1	7	11	2	0	0	0	17	16
Cep350	111740	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
Tor1aip1	339	2	7	4	6	3	2	3	0	24	13	26	6	4	1	66	35
Tdrd5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Soat1	1	23	9	4	2	3	3	9	6	30	9	16	26	4	9	89	64
Fam20b	7	0	0	0	0	5	0	0	0	1	0	6	0	2	0	14	0
Ralgps2	1	19	4	2	0	88	7	10	1	26	5	565	43	118	6	828	66
Rasal2	1	1	5	1	0	4	6	0	0	49	45	37	18	5	2	97	76
Fam5b	7	3	0	2	0	26	2	2	0	21	3	305	38	127	15	486	58
Tnn	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cacybp	1	56	1	47	1	549	21	17	0	498	12	1421	113	569	46	3157	194
Rabgap1l	75	0	0	0	2	15	11	0	0	35	8	63	88	20	17	133	126
Prdx6	13	1997	41	63	25	86	36	38	7	1547	281	637	266	216	81	4584	737
Fasl	85	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
AI848100	5	3	0	3	1	7	2	0	0	17	4	26	14	9	3	65	24
4930558K02Rik	10462	2	0	0	0	0	0	0	0	4	0	9	0	3	0	18	0
Dnm3	1	4	1	14	1	205	23	3	0	264	19	96	23	93	11	679	78
Prrc2c	3	68	3	94	15	339	52	24	5	609	57	972	97	387	33	2493	262
Fmo4	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fmo1	108	6	0	2	1	7	0	0	0	2	5	2	1	1	0	20	7
Fmo2	11889	0	0	5	0	0	0	0	0	2	0	0	0	0	0	7	0
Prrx1	24319	1	0	1	0	0	0	0	0	0	0	1	0	0	0	3	0
Gorab	4	3	2	5	1	22	7	1	0	46	10	94	31	32	17	203	68
BC055324	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
Blzf1	149	7	3	11	3	36	2	0	0	108	25	106	16	38	7	306	56
Atp1b1	329	10	1	11	1	481	13	0	0	32	2	1550	119	112	16	2196	152
Tbx19	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sft2d2	2	6	0	12	1	6	0	2	0	117	0	15	1	9	0	167	2
Tiprl	20	23	0	34	0	151	0	11	0	275	0	732	1	159	0	1385	1
Dcaf6	25	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0
Mpzl1	32487	2	0	13	0	1	0	0	0	37	0	9	0	1	0	63	0
Rcsd1	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pou2f1	1	0	0	0	0	6	0	0	0	8	1	15	4	4	2	33	7
Dusp27	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	2	1
Mael	2	0	0	0	0	0	0	0	0	0	0	3	1	1	0	4	1
Pogk	16	0	0	1	0	1	0	2	0	30	0	4	0	1	0	39	0
Uck2	7	0	0	0	1	0	0	0	0	1	2	2	0	0	0	3	3
Mgst3	1	21	17	71	22	595	280	17	7	347	215	1875	929	1182	347	4108	1817
Lrrc52	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pbx1	625	1	0	1	0	0	0	0	0	1	0	1	0	0	0	4	0
Nuf2	6	0	0	2	0	1	0	0	0	2	0	0	0	0	0	5	0
Ddr2	260	0	0	4	0	5	0	1	0	4	0	2	0	0	1	16	1
Uap1	16	3	1	20	0	2	0	2	0	227	3	16	4	10	1	280	9
Nos1ap	18	0	0	0	0	3	0	0	0	0	0	15	0	0	0	18	0
Atf6	1	0	0	0	0	3	1	0	0	9	3	20	7	11	3	43	14
Dusp12	186	1	0	4	0	11	2	1	0	6	0	47	1	12	1	82	4
Fcrla	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fcgr2b	2	1	0	3	0	0	0	135	18	57	13	10	0	22	5	228	36
Fcgr3	7	1	1	3	0	8	0	310	19	119	5	29	1	30	2	500	28
Tomm40l	33	26	1	14	0	103	5	1	0	98	4	287	32	105	10	634	52
Fcer1g	1	2	0	3	0	4	0	198	10	74	9	9	2	9	2	299	23
